cs_br_concentration,pb_br2_concentration,temperature,oa_concentration,oam_concentration,reaction_time,solvent_type,stoichiometry_valid,concentration_valid,ligand_valid,physics_failure_prob,bandgap,plqy,emission_peak,particle_size,emission_fwhm,lifetime,stability_score,phase_purity,phase_label
2.207753,0.869337,188.957779,0.605822,0.176501,13.166791,3,True,False,True,0.300000,2.460377,0.415297,482.042786,27.069746,38.277004,0.456515,0.366896,0.756664,2
0.710286,0.832164,141.122620,0.140356,0.021327,35.309017,0,True,False,True,0.300000,9.752635,0.873203,-233.246078,2.085215,68.457291,24.991449,0.803789,0.909246,1
1.703334,2.000000,212.647507,0.036417,0.463981,46.577713,0,True,False,True,0.300000,2.182129,0.188862,518.459900,14.165533,39.262775,4.039870,0.296909,0.629546,3
0.826709,0.419406,150.359604,0.754220,0.706590,55.079468,3,True,True,True,0.000000,2.304870,0.865964,519.558899,34.042801,30.990522,18.026484,0.978749,0.607199,0
3.000000,1.161731,125.995453,0.447160,0.070676,50.144142,4,True,False,True,0.300000,2.393171,0.039936,508.984955,22.138695,34.183872,7.012661,0.539295,0.934141,3
0.863333,1.137908,250.000000,0.421988,0.939835,34.954674,0,True,False,True,0.300000,2.302737,0.104597,518.963379,31.344994,32.347900,19.337439,0.182986,0.785125,0
0.949272,1.274019,212.359650,0.349399,0.514130,7.897197,4,True,False,True,0.300000,2.302583,0.399597,527.215637,21.850939,31.375502,14.491155,0.454101,0.935059,0
2.089144,1.290858,142.260284,0.373347,0.832068,2.065577,1,True,False,True,0.300000,2.283844,0.227750,560.806763,21.618149,34.281174,12.435032,0.596603,0.673703,3
2.105065,0.650242,186.060364,0.501713,0.345286,3.746821,3,False,False,True,0.600000,2.329214,0.515035,490.397430,9.000655,45.675941,12.413287,0.551528,0.928490,2
3.000000,0.904348,80.000000,0.325144,0.296311,47.476372,0,False,False,True,0.600000,112.142265,0.887342,-10478.500000,2.508018,65.764725,23.052347,0.318149,0.739831,1
3.000000,1.143788,118.172775,0.356221,0.102804,13.620456,3,True,False,True,0.300000,30.328466,0.951700,-2279.230713,7.651544,38.915161,22.894590,0.570028,1.000000,1
1.403192,1.003131,120.713898,0.123008,0.783909,39.639839,1,True,False,True,0.300000,10.465566,0.885412,-290.889282,3.258229,62.956959,22.092010,0.737696,0.908286,1
3.000000,0.956702,188.652817,0.008159,1.077521,55.538746,0,False,False,True,0.600000,75.429405,0.845064,-6812.936523,2.547666,64.066437,25.146160,0.636979,0.944065,1
1.456372,2.000000,193.435623,0.862358,0.078131,46.735584,3,True,False,True,0.300000,2.296919,0.476767,517.440552,31.253075,32.374973,13.325957,0.535530,0.780920,0
1.679887,0.816368,216.547165,0.525637,0.284291,14.892282,3,True,False,True,0.300000,2.331826,0.658509,518.815735,7.008354,46.866055,9.134494,0.269358,0.523466,2
2.416938,0.945087,143.472351,0.894771,0.469775,48.360668,3,True,False,True,0.300000,2.261669,0.491227,522.038879,10.054411,46.480808,10.077036,0.611403,0.942931,2
1.523085,0.848254,108.544739,0.005721,0.657399,52.037964,1,True,False,True,0.300000,12.640826,0.806128,-507.083679,2.459536,64.936966,24.502831,0.522535,0.823057,1
2.680797,1.029552,119.961319,0.063239,0.112152,6.984676,0,True,False,True,0.300000,2.290879,0.083878,598.086182,12.431450,39.033047,5.910986,0.486823,0.763257,3
2.643894,1.307693,235.769897,0.133700,0.645859,10.538636,2,True,False,True,0.300000,2.426060,0.493243,499.180206,17.022251,46.817913,7.933621,0.091141,0.770639,2
2.014465,1.409190,116.018921,0.020715,0.115878,1.203095,0,True,False,True,0.300000,10.628553,0.880895,-305.790009,2.006304,80.743256,19.876102,0.664435,0.838981,1
1.778342,1.405199,102.591278,0.208249,0.023957,47.832405,2,True,False,True,0.300000,10.023444,0.907118,-247.152725,4.200786,52.558830,21.629747,0.545684,0.845645,1
2.728614,0.638228,174.830322,0.812832,0.283272,17.280148,0,False,False,True,0.600000,2.264091,0.390783,505.645050,15.343808,45.517082,3.806967,0.561852,0.569960,2
1.112831,0.814952,147.590714,0.251108,1.500000,10.972615,4,True,False,True,0.300000,2.032760,0.166671,571.464905,4.112020,55.857510,8.662787,0.629593,0.926992,3
1.394048,1.603416,96.622589,0.347029,0.388632,32.841763,0,True,False,True,0.300000,2.377755,0.041972,581.135010,4.261662,53.950939,6.047328,0.306636,1.000000,3
3.000000,1.745496,128.708450,0.666234,0.579664,44.154995,0,True,False,True,0.300000,2.066510,0.137059,564.320862,6.987344,43.444321,9.425141,0.568633,0.638049,3
2.780570,0.851330,228.091873,0.678467,0.339752,45.715221,0,False,False,True,0.600000,2.386282,0.654814,517.023804,9.196170,46.062977,5.678772,0.109986,0.696247,2
0.594371,0.685478,176.743576,0.124156,0.041327,41.791477,1,True,False,True,0.300000,2.300025,0.761117,502.019836,28.384256,34.568501,21.406733,0.895868,0.703991,0
3.000000,0.911861,184.570297,0.756533,0.056229,52.165108,0,False,False,True,0.600000,2.172198,0.156598,502.624176,17.966461,37.468773,8.190701,0.479426,0.633288,3
1.878065,1.697722,150.048767,0.091955,0.455650,24.367447,3,True,False,True,0.300000,9.798639,0.887641,-237.531296,5.351991,36.760136,23.447969,0.788186,0.868038,1
3.000000,0.647044,148.451431,0.243974,0.136734,7.267303,2,False,False,True,0.600000,2.275855,0.534778,523.749695,6.203909,55.644932,7.959146,0.567530,0.674313,2
0.611003,1.078742,94.892075,0.151318,0.607895,13.690705,3,True,False,True,0.300000,10.488994,0.834387,-305.640930,2.009785,78.661446,27.883898,0.472747,1.000000,1
2.473411,1.007117,141.552612,0.254297,0.421818,40.806061,0,True,False,True,0.300000,2.019418,0.279396,529.194214,20.938910,35.394497,8.175828,0.599677,0.897111,3
2.413584,1.982675,192.471512,0.275758,0.800843,11.729660,3,True,False,True,0.300000,2.190226,0.100235,550.927185,10.020557,43.435390,2.284314,0.403863,0.865688,3
2.313627,1.809547,151.659729,0.024659,0.697979,48.462261,2,True,False,True,0.300000,10.122258,0.927657,-256.268127,5.727437,43.624451,27.796253,0.872645,0.920789,1
1.832694,1.046694,178.889999,0.366035,0.301589,17.109301,2,True,False,True,0.300000,2.299878,0.598662,523.010742,24.131819,36.147572,12.630050,0.747501,0.724251,0
1.990843,0.484922,150.509796,0.286508,0.169622,25.140701,2,False,False,True,0.600000,2.095225,0.250130,572.402649,17.935471,33.648720,6.641173,0.604334,0.911318,3
2.559981,1.722983,162.269958,0.001739,0.176975,45.743382,2,True,False,True,0.300000,2.130310,0.062442,482.964020,17.053551,36.289192,10.713247,0.524351,0.791974,3
1.709736,1.791712,190.271301,1.500000,0.374297,9.615653,1,True,False,True,0.300000,9.752645,0.935801,-226.429413,4.491045,46.660217,20.737091,0.565604,0.725359,1
1.575516,0.649601,201.292343,0.013697,1.244976,3.157867,1,True,False,True,0.300000,2.351527,0.086889,553.308594,14.690081,34.360897,3.812967,0.332011,0.816861,3
2.302386,2.000000,193.935013,0.405058,0.299632,58.968678,2,True,False,True,0.300000,9.834063,0.942847,-241.452026,5.479908,43.147446,25.980932,0.562264,0.838043,1
1.733063,0.332689,153.437653,0.025201,0.415875,52.872391,0,False,False,True,0.600000,2.379864,0.672536,521.421021,11.029496,40.934063,1.481444,0.576343,0.641234,2
2.026522,0.897953,191.068863,0.341753,0.043639,22.184547,1,True,False,True,0.300000,2.379505,0.773952,517.883240,7.829031,48.461208,10.908766,0.375087,0.578701,2
3.000000,0.551567,209.874069,0.002615,0.758072,44.170731,0,False,False,True,0.600000,2.360119,0.629946,516.899231,5.882994,55.814022,10.325608,0.291027,0.795977,2
1.470374,1.772076,109.835945,0.507698,1.375326,56.706562,4,True,False,True,0.300000,2.392602,0.240000,527.620361,17.663128,41.894958,9.249155,0.381355,0.790908,3
1.437824,0.887047,125.095490,0.119376,0.553104,53.050678,0,True,False,True,0.300000,2.305289,0.941499,515.146423,29.741501,36.568699,13.425056,0.788197,0.965042,0
2.152813,0.642243,181.141830,0.114634,0.742713,53.383057,0,False,False,True,0.600000,121.566109,0.916570,-11397.294922,4.662338,44.406319,27.982464,0.656030,0.921333,1
2.119502,1.043680,134.239517,0.049273,0.914497,41.009579,0,True,False,True,0.300000,15.168152,0.930965,-754.196716,6.123297,45.533730,26.533964,0.802536,0.580362,1
1.200172,1.182027,147.497696,1.084028,0.619219,11.330807,0,True,False,True,0.300000,9.818276,0.933472,-229.402344,2.049962,73.675041,28.000589,0.745539,0.981802,1
1.158281,1.459441,222.046173,0.913867,0.511825,49.935135,1,True,False,True,0.300000,2.094142,0.070000,545.476929,9.396661,37.321468,13.025524,0.286452,0.500000,3
2.003812,1.155836,200.682037,1.500000,0.047538,17.841360,1,True,False,True,0.300000,2.300879,0.365698,527.829102,22.484350,32.166283,14.606688,0.553547,0.992176,0
2.324533,1.167835,156.153275,0.586546,0.440519,46.026970,2,True,False,True,0.300000,2.350186,0.150100,515.389709,4.360806,52.812889,7.814760,0.638186,0.903389,3
2.875050,1.408777,108.692245,1.500000,0.466941,36.171986,0,True,False,True,0.300000,2.260160,0.264533,555.030945,8.715646,43.441322,8.787021,0.455054,0.753179,3
1.135522,1.228910,153.937393,1.500000,0.112896,51.370892,1,True,False,True,0.300000,2.296945,0.727728,492.660248,29.431446,30.103678,16.854647,1.000000,0.907687,0
1.068506,2.000000,146.872467,0.381988,0.195193,13.618404,2,True,False,True,0.300000,10.754739,0.872514,-315.378754,2.379834,65.863876,20.398230,0.696589,0.785054,1
1.293240,0.277903,161.390045,0.151026,0.256382,14.696661,3,False,False,True,0.600000,5940.430664,0.917114,-593283.000000,2.534074,64.749161,21.323492,0.691013,0.939985,1
3.000000,0.772235,224.053314,0.086818,0.000798,30.261662,0,False,False,True,0.600000,2.450229,0.503590,509.539978,23.263863,36.128704,6.683429,0.292611,0.927870,2
0.739746,2.000000,177.280182,0.448096,0.694884,1.784310,3,False,False,True,0.600000,2.465300,0.560299,483.649780,22.724419,37.567947,7.774535,0.452147,0.748197,2
1.554877,0.704237,160.562057,0.462367,0.376828,55.170036,1,True,False,True,0.300000,2.332725,0.509693,508.667084,6.161699,45.804260,5.074550,0.562914,1.000000,2
2.353808,0.552066,80.000000,0.977329,0.120974,28.621088,1,False,False,True,0.600000,1543.868286,0.840827,-153636.796875,8.239729,34.430813,26.865852,0.354187,0.874135,1
1.681325,1.823455,140.624802,0.058473,0.049978,35.301994,0,True,False,True,0.300000,2.067765,0.143779,556.504822,11.960695,35.188248,4.570244,0.585041,0.721091,3
2.631527,1.057418,193.006973,1.500000,0.243259,4.804085,4,True,False,True,0.300000,2.541641,0.745701,485.456177,7.672483,48.058697,7.274430,0.427799,0.902390,2
3.000000,1.856701,188.604309,0.625263,0.195983,28.721342,2,True,False,True,0.300000,2.365117,0.103776,501.931702,9.517455,41.116829,8.148872,0.453598,0.750622,3
0.834453,1.346923,164.724136,0.564636,0.998295,32.095387,0,True,False,True,0.300000,2.014505,0.109709,563.959229,8.473266,46.773190,5.818048,0.470789,0.809589,3
1.054752,1.898815,244.242584,0.109198,0.179531,45.536980,3,True,False,True,0.300000,2.302542,0.435457,506.592010,29.281956,37.364491,17.444901,0.201236,0.848506,0
0.576776,1.217602,250.000000,0.869848,0.321489,36.522205,0,False,False,True,0.600000,2.301709,0.287479,515.309021,30.444466,34.606346,16.841473,0.161151,0.803791,0
0.601317,1.480506,206.133865,0.286223,1.252399,38.252087,3,False,False,True,0.600000,2.221565,0.187481,456.968506,13.112717,40.202545,11.326031,0.306798,0.884107,3
1.597777,1.121616,159.665085,0.151957,0.911945,49.501221,0,True,False,True,0.300000,2.154460,0.193023,588.296387,6.742688,46.208202,9.325741,0.563456,0.802427,3
1.700976,1.361539,250.000000,1.500000,1.133570,23.358343,0,True,False,False,0.600000,2.303467,0.329063,512.864746,24.707047,36.957958,10.162343,0.188577,0.962106,0
1.066325,0.850790,163.186966,0.268307,0.222908,46.026386,2,True,False,True,0.300000,2.304971,0.847299,500.812378,31.768875,33.066677,14.990711,0.929743,0.608256,0
1.026881,0.588321,122.708626,0.081932,0.681526,58.030365,1,True,False,True,0.300000,2.135090,0.051102,543.038574,17.977203,35.420872,5.666617,0.524263,0.831273,3
3.000000,1.367980,120.012543,0.220359,0.242378,52.443336,0,True,False,True,0.300000,17.412344,0.949040,-1007.029541,2.691918,65.775238,25.524599,0.665780,0.556628,1
1.142978,1.314583,185.992661,0.419447,1.219622,12.010646,1,True,False,True,0.300000,2.307390,0.607768,518.676514,25.630322,36.523586,17.088694,0.725755,0.953615,0
0.697314,0.824487,118.661636,0.217827,0.886916,26.447657,3,True,False,True,0.300000,2.296908,1.000000,526.164246,23.658930,38.420174,19.469925,0.805147,0.613900,0
1.804721,1.636042,184.390656,0.326065,0.662101,19.168224,4,True,False,True,0.300000,2.299534,0.671735,511.292847,23.140736,35.650063,15.998361,0.804699,0.534468,0
1.693346,2.000000,116.077263,0.283848,0.138868,32.103481,1,True,False,True,0.300000,2.305794,1.000000,514.373779,27.520432,31.427307,11.323812,0.762108,0.827154,0
3.000000,0.816855,169.350586,1.209477,0.268037,12.146208,2,False,False,True,0.600000,2.290670,0.525742,544.158386,7.963117,52.774315,11.583851,0.616818,0.917157,2
1.666803,1.099239,199.866608,0.526744,0.149245,11.070666,0,True,False,True,0.300000,2.241588,0.114362,485.140869,22.157335,35.117313,12.445607,0.385457,0.555755,3
0.878142,1.408880,167.016769,1.500000,0.141689,25.470438,3,True,False,True,0.300000,2.295834,0.644456,534.542297,24.309116,37.078594,11.655762,0.971219,0.502108,0
2.308811,1.947542,140.345367,0.064674,0.215364,28.660006,2,True,False,True,0.300000,2.300528,0.866563,517.912415,32.120560,37.295506,14.794775,1.000000,0.914289,0
1.331867,1.302025,145.260574,0.228043,0.163200,43.726276,4,True,False,True,0.300000,2.297579,0.229259,553.773438,4.288161,49.518780,6.195473,0.591473,0.797401,3
1.143796,0.760799,117.851990,0.255417,0.060112,26.354671,4,True,False,True,0.300000,2.087405,0.201820,499.642944,3.471324,61.881477,8.474797,0.559058,0.801629,3
1.544980,2.000000,161.446869,0.032746,0.250048,43.677349,0,True,False,True,0.300000,2.204912,0.189122,568.956543,5.867913,43.278721,7.786103,0.532812,0.943410,3
1.129296,0.716859,136.513153,0.219958,0.629267,14.653964,2,True,False,True,0.300000,11.133574,0.837897,-366.489136,6.189267,37.922504,27.299767,0.736030,0.649656,1
0.875691,1.093729,160.592102,0.368184,0.219517,39.484188,2,True,False,True,0.300000,2.306091,0.784675,521.985657,28.773844,30.476873,18.877304,0.977779,0.835393,0
1.137637,0.832919,107.613892,0.758910,0.117866,25.982845,1,True,False,True,0.300000,10.263965,0.934760,-288.619110,3.334615,50.554779,23.957529,0.544315,1.000000,1
0.990706,1.538936,186.385590,0.494635,0.210415,22.894171,1,True,False,True,0.300000,2.172662,0.189598,507.489746,17.980570,33.466206,8.287885,0.460353,0.653894,3
1.704277,0.685705,130.866623,0.092936,0.083365,32.419487,3,True,False,True,0.300000,2.455474,0.762560,495.794708,11.041893,46.629868,11.308943,0.602508,0.500000,2
1.942101,0.348991,214.857010,0.025504,0.743046,2.619483,0,False,False,True,0.600000,2.323203,0.611482,495.434875,7.326673,49.735748,6.131665,0.255312,0.808564,2
1.658489,0.687529,200.662994,0.362771,1.500000,54.159393,1,True,False,True,0.300000,2.295131,0.506582,531.252991,32.071812,34.181179,14.203972,0.664818,0.750226,0
0.656124,0.770995,121.892471,0.253629,1.500000,34.886730,1,True,False,True,0.300000,9.944783,0.915717,-238.377380,2.616954,62.838223,25.870728,0.769313,0.949460,1
1.427289,0.816762,147.359589,0.681420,0.699140,18.274080,4,True,False,True,0.300000,12.263428,0.885272,-462.412109,5.685819,44.060150,28.843132,0.819168,0.837993,1
0.716057,0.782634,174.832947,0.059949,0.619577,51.253586,4,True,False,True,0.300000,2.334097,0.010974,488.273621,6.179333,47.575695,9.129210,0.542857,0.673736,3
0.990044,0.886694,212.817032,0.067653,0.180110,35.528461,3,True,False,True,0.300000,2.178377,0.209256,481.114899,8.875905,39.930355,8.057896,0.284759,0.810920,3
1.029956,0.806284,152.750900,0.701011,0.173161,30.294968,4,True,False,True,0.300000,2.299862,0.793351,519.072510,25.511936,36.699520,19.147545,0.972480,0.709659,0
1.819400,0.801516,128.094894,0.645915,0.683369,16.263718,2,True,False,True,0.300000,2.327377,0.227545,524.779480,17.496334,31.369003,13.227362,0.507549,0.787723,3
3.000000,1.597267,174.835007,0.171639,1.479863,49.827034,1,True,False,True,0.300000,2.296337,0.009152,528.248535,12.201598,37.226410,9.451164,0.504834,0.831150,3
1.575786,1.679341,139.495316,0.947663,0.789652,26.807487,1,True,False,True,0.300000,2.108094,0.210819,516.707947,7.971297,44.760117,3.163298,0.603896,0.695654,3
1.770296,2.000000,239.782486,0.369871,0.158108,58.400047,0,True,False,True,0.300000,2.303386,0.338904,512.729614,28.240538,30.874794,13.079708,0.224964,0.799072,0
1.442165,0.404743,216.507141,0.359146,0.193315,24.056852,3,False,False,True,0.600000,2.222303,0.168455,480.750092,13.352775,38.143295,8.651099,0.177751,0.591749,3
2.086147,1.542949,165.056046,0.167000,0.048281,4.488483,2,True,False,True,0.300000,2.139543,0.142186,552.445801,6.672692,45.533634,12.940849,0.544528,0.693777,3
1.308622,1.377376,170.800201,0.196429,0.665052,24.885990,2,True,False,True,0.300000,2.059830,0.129610,542.369324,9.877799,36.961456,9.287942,0.588449,0.813031,3
1.912229,1.366627,144.406311,0.397135,0.423888,57.076935,3,True,False,True,0.300000,2.301632,0.856026,521.604126,28.965963,34.705078,9.255677,0.950524,1.000000,0
0.954793,1.440468,134.142151,0.528125,0.099270,7.425362,0,True,False,True,0.300000,2.293860,0.868490,532.665649,21.174559,39.239338,16.468746,0.860533,0.941227,0
1.254206,0.565548,218.951996,0.695807,0.300152,56.610886,1,True,False,True,0.300000,2.298781,0.346367,543.443726,31.877798,32.804592,16.499504,0.302168,0.739453,0
0.999426,0.938823,124.492516,0.153598,0.123003,25.984262,1,True,False,True,0.300000,9.771287,0.893965,-219.947021,2.014414,75.547203,26.102991,0.660158,1.000000,1
0.994380,0.745200,183.972244,0.452924,1.071186,48.457958,1,True,False,True,0.300000,2.295918,0.628227,518.505310,30.661331,27.840038,14.774121,0.772144,1.000000,0
1.572508,1.817119,99.890961,0.390986,0.133423,39.017258,1,True,False,True,0.300000,2.201647,0.100727,505.131287,6.195414,41.102497,5.174921,0.365838,0.820268,3
1.892907,1.041141,250.000000,0.784948,1.500000,42.698734,0,True,False,True,0.300000,2.394605,0.497095,482.661987,12.036326,40.704510,8.435410,0.047544,0.876155,2
1.473422,2.000000,231.137573,1.500000,0.216272,38.563679,4,True,False,True,0.300000,2.299586,0.264039,520.648010,28.696016,32.649315,18.168657,0.252929,0.500000,0
3.000000,1.063087,190.191360,0.068761,0.037127,58.390244,2,True,False,True,0.300000,2.288202,0.510339,511.027008,11.122180,43.185673,2.779905,0.437692,1.000000,2
2.110130,1.003217,143.140884,0.683170,1.500000,20.069668,4,True,False,True,0.300000,2.267971,0.268171,570.089966,15.440775,34.007179,8.457253,0.536247,0.524605,3
1.545184,1.466974,98.255127,1.166155,0.096049,40.507000,0,True,False,True,0.300000,9.787141,0.878294,-237.930069,2.768262,63.971149,26.079897,0.463993,0.801855,1
1.934918,1.146677,160.839798,0.049494,1.343337,31.068920,2,True,False,True,0.300000,2.302185,0.738567,531.782715,25.867144,32.530102,15.496414,0.967989,0.588060,0
2.500845,1.176470,172.110718,0.560704,0.022658,19.374119,1,True,False,True,0.300000,2.431238,0.665981,493.713867,19.431316,40.905972,12.447540,0.501824,0.776583,2
1.561819,1.114946,108.683441,0.193606,0.519241,24.250328,0,True,False,True,0.300000,2.165947,0.178038,470.524109,5.553137,52.263355,5.648410,0.447314,0.864039,3
1.087162,1.067945,213.163376,0.063431,1.500000,49.811115,1,True,False,True,0.300000,2.297898,0.417696,509.074005,28.632339,32.377766,13.495635,0.450492,0.984398,0
1.735006,2.000000,198.516739,0.181369,0.131344,56.022495,0,True,False,True,0.300000,2.293999,0.636352,513.726196,31.315119,30.181896,13.844237,0.631262,0.945044,0
1.819743,0.863726,187.060684,0.185655,0.175302,51.221394,1,True,False,True,0.300000,16.121246,0.866457,-856.436462,3.241575,56.517052,22.973900,0.688891,0.858784,1
3.000000,0.448266,153.941101,0.843297,0.602388,22.558018,3,False,False,True,0.600000,2.290468,0.859053,500.898682,16.432194,43.234863,5.661276,0.648823,0.840306,2
2.066427,0.872335,239.850983,1.500000,0.474886,55.393875,0,True,False,True,0.300000,2.290343,0.404175,518.969055,31.146221,36.182987,14.677215,0.197535,0.771170,0
1.487513,0.752901,117.716057,0.128018,0.276214,30.118675,3,True,False,True,0.300000,2.298446,1.000000,514.769897,26.126448,32.700378,14.413597,0.762915,0.763564,0
1.678022,0.747013,217.176498,0.137234,0.021660,12.294290,3,True,False,True,0.300000,2.074033,0.258731,495.398621,20.766512,33.913929,9.722660,0.218214,0.741034,3
0.729886,1.113059,142.407333,0.525372,0.269482,16.032207,3,True,False,True,0.300000,2.302063,0.851796,526.839050,23.930067,27.100206,10.556798,0.925249,0.797883,0
1.356439,0.992558,189.554916,0.336509,0.333195,44.301224,1,True,False,True,0.300000,2.302230,0.546613,512.215576,30.547407,31.704800,11.510671,0.802352,0.606225,0
1.018308,1.290684,132.537964,0.635635,0.451923,46.509796,3,True,False,True,0.300000,2.100974,0.081413,529.677124,4.303112,52.406948,8.299890,0.541652,0.587720,3
1.792179,0.884768,153.437408,0.977349,0.154971,46.208046,1,True,False,True,0.300000,2.206070,0.029581,479.156189,5.492537,48.761200,12.461640,0.640988,0.945904,3
0.867177,1.482333,182.892670,0.710643,0.571121,18.269375,0,True,False,True,0.300000,2.214639,0.146279,559.813843,15.474450,33.719109,5.775451,0.417806,0.770334,3
3.000000,1.063789,191.199692,0.532016,1.324924,43.120186,0,True,False,True,0.300000,2.361205,0.716495,519.228760,12.963060,43.579632,5.665796,0.429940,0.835929,2
1.285097,1.431792,135.105133,0.948533,0.259331,31.421654,2,True,False,True,0.300000,2.302157,0.901161,517.726624,23.546370,36.337486,18.028700,0.930988,0.772020,0
3.000000,0.606513,107.782082,1.028257,0.176924,59.933395,4,False,False,True,0.600000,2.142791,0.168923,484.718842,12.821032,36.638237,5.233588,0.466493,0.659469,3
3.000000,2.000000,208.728455,0.078024,0.013053,28.898832,1,True,False,True,0.300000,2.304055,0.501719,526.092712,28.595383,35.412815,18.832670,0.567362,1.000000,0
1.932234,1.226701,234.981354,0.739079,0.360430,4.157281,3,True,False,True,0.300000,2.435875,0.458487,532.089050,7.309742,52.767918,6.287490,0.146130,0.931348,2
1.623808,0.926366,138.324127,0.398572,0.492249,14.214402,0,True,False,True,0.300000,2.102150,0.199317,575.580994,14.079699,41.240814,5.512852,0.655883,0.837443,3
